Location ,placeID,Long,Lat,start,end,Nights.active
Buckthorne Cutting,1,-0.039367,51.457314,16/02/2022,23/03/2022,35
Buckthorne Cutting,2,-0.039845,51.456242,16/02/2022,23/03/2022,35
Buckthorne Cutting,3,-0.04074,51.455289,16/02/2022,23/03/2022,35
